lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
hash-table,chaining.insert,chaining-insert,3,15,2.798783,0.100724,2.732375,2.979013,2.714625,3.0155
hash-table,chaining.lookup,chaining-lookup,3,15,0.575894,0.004431,0.574417,0.584075,0.570708,0.585125
hash-table,open_addressing.insert,linear-probe-insert,3,15,2.276603,0.005931,2.275792,2.285379,2.266458,2.292583
hash-table,open_addressing.lookup,linear-probe-lookup,3,15,0.637461,0.014693,0.629542,0.667933,0.625625,0.671666
heap-scheduler,heap,binary-heap-schedule,2,10,0.128171,0.004713,0.1265,0.136073,0.123792,0.138042
heap-scheduler,linear_min,linear-min-schedule,2,10,5.506087,0.020691,5.510938,5.531675,5.465166,5.534375
graph-traversal,bfs,bfs-grid,3,20,0.083158,0.001947,0.082563,0.08804,0.081291,0.088792
graph-traversal,dfs,dfs-grid,3,20,0.072569,0.00246,0.072021,0.077519,0.068834,0.079458
concurrency-race,split_load_store.benchmark,split-load-store,1,6,0.621938,0.0495,0.598417,0.697666,0.567041,0.706916
concurrency-race,mutex.benchmark,mutex,1,6,15.437639,0.335047,15.506729,15.858146,14.926875,15.936792
concurrency-race,atomic.benchmark,atomic-fetch-add,1,6,15.398611,0.679156,15.10675,16.488906,14.836208,16.733
raw-http,new_connection,new-tcp-connection-per-request,2,8,4.687906,0.758155,4.304917,6.068369,4.2565,6.522333
raw-http,keep_alive,http-keep-alive,2,8,1.199583,0.013302,1.198271,1.218667,1.177083,1.223917
raw-http,connection_pool,connection-pool-reuse,2,8,1.343995,0.025286,1.352188,1.363029,1.279667,1.365625
raw-http,concurrent_keep_alive,concurrent-keep-alive,2,8,0.447026,0.016808,0.451354,0.465775,0.415,0.467875
raw-http,thread_per_client_slow,thread-per-client-slow-requests,2,8,169.800453,8.314942,172.619271,179.160571,153.404334,180.482667
raw-http,serial_blocking_slow,serial-blocking-slow-requests,2,8,578.251406,81.138397,589.952937,680.571719,468.418792,686.636709
db-index,index_build,bplus-tree-build,2,10,0.865192,0.019085,0.861563,0.89559,0.839375,0.901833
db-index,sequential_scan,sequential-scan,2,10,0.956146,0.015082,0.959729,0.971996,0.928208,0.972333
db-index,bplus_tree,bplus-tree-lookup,2,10,0.019667,0.004239,0.018209,0.027192,0.015833,0.027792
data-structures,dynamic_array.append,dynamic-array-append,2,8,0.007208,0.000879,0.006854,0.008754,0.006459,0.00925
data-structures,linked_list.append,linked-list-append,2,8,0.156791,0.02395,0.145291,0.199998,0.1415,0.216083
data-structures,bst.lookup,bst-random-lookup,2,8,0.056563,0.022696,0.044583,0.097251,0.039625,0.104834
data-structures,trie.lookup,trie-prefix-lookup,2,8,0.015411,0.001174,0.015395,0.017348,0.014084,0.017916
data-structures,union_find.benchmark,union-find-chain-connect,2,8,0.044755,0.002248,0.0435,0.048831,0.04325,0.049458
algorithm-defense,binary_search.linear,linear-search-sorted-array,1,6,148.196,3.044805,147.1055,152.288573,145.140125,152.295958
algorithm-defense,binary_search.binary,binary-search-sorted-array,1,6,0.04309,0.001318,0.042667,0.045187,0.041958,0.04575
memory-locality,contiguous,contiguous-array-traversal,2,10,0.055371,0.001168,0.0555,0.056869,0.053791,0.057
memory-locality,linked,linked-list-pointer-chase,2,10,0.098742,0.018051,0.090562,0.128052,0.079958,0.131708
memory-locality,stack_frame,stack-frame-touch-4096-int,2,10,0.0017,1.7e-05,0.001708,0.001709,0.001667,0.001709
memory-locality,heap_block,heap-block-touch-4096-int,2,10,0.001688,3.4e-05,0.001667,0.00175,0.001666,0.00175
process-fd,getpid,getpid-call,1,12,1.212024,0.374701,1.099604,1.713953,1.089834,2.454666
process-fd,cached_pid,cached-pid-load,1,12,0.277063,0.002002,0.276563,0.280079,0.275042,0.280125
process-fd,fork_wait,fork-and-wait,1,12,0.514646,0.171167,0.464313,0.815521,0.371834,1.02475
virtual-memory,map_only,mmap-without-page-touch,1,6,0.000472,3.9e-05,0.000459,0.000531,0.000417,0.000541
virtual-memory,map_and_touch,mmap-and-touch-every-page,1,6,3.56625,0.10242,3.519271,3.731375,3.505875,3.79375
storage-engine,index_rebuild,page-scan-index-rebuild,2,8,0.362177,0.002129,0.361896,0.36501,0.359458,0.365375
storage-engine,sequential_scan,page-backed-sequential-scan,2,8,33.532109,1.470417,33.082563,35.995379,31.87825,36.958958
storage-engine,indexed_lookup,bplus-index-page-lookup,2,8,0.391985,0.029666,0.380354,0.442256,0.372708,0.468375
allocator,benchmark.no_coalesce,free-list-no-coalescing,2,8,3.352016,0.009044,3.348479,3.367173,3.343125,3.372
allocator,benchmark.coalesced,free-list-with-coalescing,2,8,2.33139,0.00874,2.330417,2.343206,2.319708,2.344125
embedded-simulator,benchmark,deterministic-hal-state-machine,2,10,0.209987,0.007238,0.207208,0.218834,0.202292,0.218834
